,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
266,37,management,single,tertiary,no,600,yes,no,unknown,5,may,152,1,-1,0,unknown,no
273,56,entrepreneur,divorced,secondary,no,155,no,no,unknown,5,may,118,3,-1,0,unknown,no
275,59,retired,married,secondary,no,319,yes,no,unknown,5,may,143,3,-1,0,unknown,no
284,30,blue-collar,single,secondary,no,0,yes,no,unknown,5,may,5,2,-1,0,unknown,no
286,47,admin.,married,secondary,no,368,yes,no,unknown,5,may,125,2,-1,0,unknown,no
289,40,self-employed,married,secondary,no,672,yes,no,unknown,5,may,164,2,-1,0,unknown,no
295,56,technician,divorced,primary,no,13,yes,no,unknown,5,may,357,2,-1,0,unknown,no
302,57,retired,married,secondary,no,211,yes,no,unknown,5,may,248,2,-1,0,unknown,no
303,36,services,single,secondary,no,62,yes,no,unknown,5,may,215,2,-1,0,unknown,no
304,53,services,married,unknown,no,257,yes,no,unknown,5,may,209,2,-1,0,unknown,no
307,55,blue-collar,married,secondary,no,89,yes,no,unknown,5,may,106,3,-1,0,unknown,no
319,42,blue-collar,married,secondary,no,490,yes,no,unknown,5,may,386,2,-1,0,unknown,no
320,51,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,173,2,-1,0,unknown,no
321,49,blue-collar,married,unknown,no,403,yes,no,unknown,5,may,241,2,-1,0,unknown,no
322,48,management,married,secondary,no,161,yes,no,unknown,5,may,224,3,-1,0,unknown,no
323,32,technician,divorced,tertiary,no,2558,no,no,unknown,5,may,148,2,-1,0,unknown,no
331,42,blue-collar,married,unknown,no,57,yes,no,unknown,5,may,425,2,-1,0,unknown,no
332,30,blue-collar,single,secondary,no,-457,yes,no,unknown,5,may,143,2,-1,0,unknown,no
336,42,admin.,single,secondary,no,1022,yes,no,unknown,5,may,146,2,-1,0,unknown,no
354,59,unknown,divorced,unknown,no,27,no,no,unknown,5,may,347,3,-1,0,unknown,no
355,31,admin.,single,secondary,no,12,yes,no,unknown,5,may,208,2,-1,0,unknown,no
356,44,blue-collar,single,secondary,no,34,yes,no,unknown,5,may,404,4,-1,0,unknown,no
367,43,management,divorced,tertiary,no,1,yes,no,unknown,6,may,306,1,-1,0,unknown,no
384,38,blue-collar,married,secondary,no,20,yes,no,unknown,6,may,402,1,-1,0,unknown,no
385,58,services,married,secondary,no,1667,yes,yes,unknown,6,may,85,1,-1,0,unknown,no
393,27,admin.,married,secondary,no,4,yes,no,unknown,6,may,243,1,-1,0,unknown,no
395,32,technician,single,secondary,no,0,yes,yes,unknown,6,may,135,3,-1,0,unknown,no
402,29,self-employed,single,tertiary,no,16,yes,no,unknown,6,may,43,1,-1,0,unknown,no
404,52,technician,married,unknown,no,7,no,no,unknown,6,may,203,2,-1,0,unknown,no
410,32,services,single,secondary,no,406,yes,no,unknown,6,may,227,1,-1,0,unknown,no
441,34,technician,single,tertiary,no,242,yes,no,unknown,6,may,112,1,-1,0,unknown,no
449,42,blue-collar,married,unknown,no,132,yes,no,unknown,6,may,238,1,-1,0,unknown,no
457,37,technician,married,secondary,no,1,yes,no,unknown,6,may,608,1,-1,0,unknown,yes
463,39,unemployed,married,primary,no,408,yes,no,unknown,6,may,53,1,-1,0,unknown,no
466,36,admin.,single,secondary,no,20,yes,no,unknown,6,may,186,1,-1,0,unknown,no
468,55,blue-collar,married,secondary,no,52,yes,no,unknown,6,may,182,1,-1,0,unknown,no
481,41,technician,married,secondary,no,871,yes,no,unknown,6,may,145,1,-1,0,unknown,no
482,41,technician,married,secondary,no,767,yes,yes,unknown,6,may,204,1,-1,0,unknown,no
483,43,blue-collar,married,secondary,no,0,no,no,unknown,6,may,187,1,-1,0,unknown,no
499,37,technician,single,secondary,no,17,yes,no,unknown,6,may,164,1,-1,0,unknown,no
501,32,technician,single,unknown,no,-170,no,no,unknown,6,may,46,1,-1,0,unknown,no
513,41,blue-collar,married,primary,no,0,yes,yes,unknown,6,may,238,1,-1,0,unknown,no
518,31,technician,married,secondary,no,17,yes,yes,unknown,6,may,120,1,-1,0,unknown,no
520,46,management,single,unknown,no,1527,yes,no,unknown,6,may,269,1,-1,0,unknown,no
523,29,management,single,tertiary,no,0,yes,no,unknown,6,may,211,1,-1,0,unknown,no
530,44,blue-collar,married,primary,no,213,no,no,unknown,6,may,158,1,-1,0,unknown,no
531,31,housemaid,married,primary,no,203,yes,no,unknown,6,may,604,3,-1,0,unknown,no
537,45,blue-collar,married,primary,no,-66,yes,no,unknown,6,may,263,2,-1,0,unknown,no
541,49,services,divorced,secondary,no,505,yes,no,unknown,6,may,162,1,-1,0,unknown,no
545,36,admin.,married,secondary,no,639,yes,no,unknown,6,may,191,1,-1,0,unknown,no
552,30,student,single,tertiary,no,34,yes,no,unknown,6,may,289,1,-1,0,unknown,no
554,33,blue-collar,married,secondary,no,-10,yes,no,unknown,6,may,123,1,-1,0,unknown,no
555,36,admin.,married,secondary,no,-106,yes,no,unknown,6,may,130,2,-1,0,unknown,no
556,39,services,divorced,primary,no,471,yes,no,unknown,6,may,161,2,-1,0,unknown,no
557,56,admin.,divorced,secondary,no,778,yes,no,unknown,6,may,149,2,-1,0,unknown,no
559,42,technician,married,secondary,no,315,yes,no,unknown,6,may,259,2,-1,0,unknown,no
561,36,admin.,divorced,secondary,no,131,yes,no,unknown,6,may,153,1,-1,0,unknown,no
562,35,entrepreneur,married,secondary,yes,204,yes,no,unknown,6,may,424,2,-1,0,unknown,no
566,38,management,married,unknown,no,1759,yes,no,unknown,6,may,440,1,-1,0,unknown,no
571,56,blue-collar,married,secondary,no,1602,yes,no,unknown,6,may,427,1,-1,0,unknown,no
574,54,services,married,secondary,no,193,no,no,unknown,6,may,179,1,-1,0,unknown,no
575,61,retired,married,secondary,no,195,yes,yes,unknown,6,may,179,1,-1,0,unknown,no
578,53,blue-collar,married,primary,no,25,yes,no,unknown,6,may,266,3,-1,0,unknown,no
586,55,blue-collar,married,secondary,no,840,yes,no,unknown,6,may,310,2,-1,0,unknown,no
587,37,services,married,secondary,no,358,yes,no,unknown,6,may,390,3,-1,0,unknown,no
600,38,blue-collar,married,secondary,no,384,yes,no,unknown,6,may,1906,3,-1,0,unknown,no
602,37,services,single,unknown,no,-118,yes,no,unknown,6,may,147,2,-1,0,unknown,no
604,51,blue-collar,married,secondary,no,50,yes,yes,unknown,6,may,121,1,-1,0,unknown,no
616,31,blue-collar,single,tertiary,no,60,yes,yes,unknown,6,may,389,1,-1,0,unknown,no
623,59,retired,married,primary,no,-119,yes,no,unknown,6,may,289,1,-1,0,unknown,no
625,31,management,single,tertiary,no,1852,yes,no,unknown,6,may,170,3,-1,0,unknown,no
626,35,unemployed,married,secondary,no,533,yes,no,unknown,6,may,802,1,-1,0,unknown,no
628,34,admin.,single,unknown,no,2434,yes,no,unknown,6,may,218,4,-1,0,unknown,no
659,38,management,married,unknown,no,1349,yes,no,unknown,6,may,100,1,-1,0,unknown,no
669,47,services,divorced,secondary,no,201,yes,no,unknown,6,may,92,2,-1,0,unknown,no
671,31,blue-collar,single,secondary,no,0,yes,no,unknown,6,may,273,2,-1,0,unknown,no
672,49,self-employed,married,secondary,no,1,yes,no,unknown,6,may,260,3,-1,0,unknown,no
679,41,admin.,married,secondary,no,0,yes,no,unknown,6,may,160,3,-1,0,unknown,no
680,46,services,married,unknown,no,80,yes,no,unknown,6,may,245,2,-1,0,unknown,no
683,49,admin.,married,secondary,no,82,yes,no,unknown,6,may,310,1,-1,0,unknown,no
693,39,services,married,secondary,no,1205,yes,no,unknown,6,may,118,2,-1,0,unknown,no
694,36,technician,married,secondary,no,368,yes,yes,unknown,6,may,1597,2,-1,0,unknown,yes
699,57,management,married,tertiary,no,2142,yes,no,unknown,6,may,251,3,-1,0,unknown,no
701,46,blue-collar,married,unknown,no,401,yes,no,unknown,6,may,306,2,-1,0,unknown,no
709,33,blue-collar,married,secondary,no,372,yes,no,unknown,6,may,132,2,-1,0,unknown,no
710,31,admin.,married,secondary,no,0,yes,yes,unknown,6,may,144,2,-1,0,unknown,no
719,38,admin.,married,secondary,no,3047,yes,no,unknown,6,may,285,2,-1,0,unknown,no
720,54,technician,divorced,secondary,no,83,yes,no,unknown,6,may,190,3,-1,0,unknown,no
723,28,admin.,single,secondary,no,251,yes,no,unknown,6,may,178,2,-1,0,unknown,no
727,42,admin.,married,secondary,no,101,yes,no,unknown,6,may,32,3,-1,0,unknown,no
736,40,blue-collar,married,primary,no,-7,yes,no,unknown,6,may,410,2,-1,0,unknown,no
739,35,management,single,tertiary,no,550,yes,no,unknown,6,may,55,2,-1,0,unknown,no
745,43,blue-collar,married,primary,no,1211,yes,no,unknown,6,may,208,3,-1,0,unknown,no
752,36,management,married,tertiary,no,144,yes,no,unknown,6,may,164,2,-1,0,unknown,no
753,55,unemployed,married,tertiary,no,383,no,no,unknown,6,may,343,3,-1,0,unknown,no
768,29,student,single,secondary,no,110,yes,no,unknown,7,may,169,3,-1,0,unknown,no
769,39,blue-collar,married,primary,no,245,yes,no,unknown,7,may,148,3,-1,0,unknown,no
777,45,management,married,tertiary,no,103,yes,no,unknown,7,may,35,4,-1,0,unknown,no
780,30,admin.,married,secondary,no,4,no,no,unknown,7,may,172,8,-1,0,unknown,no
784,57,technician,married,unknown,no,1617,yes,no,unknown,7,may,96,2,-1,0,unknown,no
794,46,self-employed,married,tertiary,no,2303,yes,no,unknown,7,may,241,1,-1,0,unknown,no
796,34,services,married,secondary,no,205,yes,no,unknown,7,may,312,1,-1,0,unknown,no
797,39,management,married,tertiary,no,305,yes,no,unknown,7,may,275,6,-1,0,unknown,no
801,40,blue-collar,divorced,secondary,no,139,yes,no,unknown,7,may,91,1,-1,0,unknown,no
802,36,services,married,secondary,no,184,yes,no,unknown,7,may,128,3,-1,0,unknown,no
808,56,retired,single,primary,no,223,yes,no,unknown,7,may,97,1,-1,0,unknown,no
815,45,blue-collar,married,primary,no,97,yes,no,unknown,7,may,923,3,-1,0,unknown,no
822,39,blue-collar,married,primary,no,981,yes,no,unknown,7,may,294,1,-1,0,unknown,no
830,40,management,divorced,tertiary,no,490,yes,no,unknown,7,may,477,2,-1,0,unknown,no
850,36,services,single,secondary,no,342,yes,no,unknown,7,may,142,1,-1,0,unknown,no
852,54,management,married,tertiary,yes,-248,yes,yes,unknown,7,may,112,1,-1,0,unknown,no
863,40,management,single,tertiary,no,1265,yes,no,unknown,7,may,97,1,-1,0,unknown,no
866,49,blue-collar,married,primary,no,3659,yes,no,unknown,7,may,160,1,-1,0,unknown,no
872,32,blue-collar,married,secondary,no,0,yes,no,unknown,7,may,298,1,-1,0,unknown,no
877,45,blue-collar,married,secondary,no,154,yes,no,unknown,7,may,1138,1,-1,0,unknown,yes
879,38,admin.,married,secondary,no,8,yes,no,unknown,7,may,125,1,-1,0,unknown,no
890,29,student,single,secondary,no,872,yes,no,unknown,7,may,230,1,-1,0,unknown,no
897,38,admin.,single,secondary,no,100,yes,no,unknown,7,may,786,1,-1,0,unknown,yes
899,43,blue-collar,married,secondary,no,167,yes,no,unknown,7,may,243,1,-1,0,unknown,no
901,40,admin.,married,secondary,no,2100,yes,yes,unknown,7,may,164,2,-1,0,unknown,no
904,33,management,married,tertiary,no,442,yes,no,unknown,7,may,463,1,-1,0,unknown,no
912,47,management,divorced,tertiary,no,34,yes,no,unknown,7,may,104,1,-1,0,unknown,no
915,43,admin.,single,secondary,no,140,yes,no,unknown,7,may,127,1,-1,0,unknown,no
917,28,blue-collar,single,secondary,no,97,yes,no,unknown,7,may,67,1,-1,0,unknown,no
920,44,admin.,married,secondary,no,58544,yes,no,unknown,7,may,144,2,-1,0,unknown,no
924,32,blue-collar,married,secondary,no,-205,yes,no,unknown,7,may,388,1,-1,0,unknown,no
931,33,blue-collar,married,secondary,no,0,no,no,unknown,7,may,107,1,-1,0,unknown,no
934,54,blue-collar,married,secondary,no,-932,yes,no,unknown,7,may,799,1,-1,0,unknown,no
942,31,services,single,secondary,no,-45,no,no,unknown,7,may,246,2,-1,0,unknown,no
944,31,services,married,secondary,no,564,yes,no,unknown,7,may,223,3,-1,0,unknown,no
947,46,entrepreneur,married,unknown,no,1481,yes,no,unknown,7,may,49,3,-1,0,unknown,no
951,51,technician,married,secondary,no,220,yes,no,unknown,7,may,421,2,-1,0,unknown,no
952,33,blue-collar,married,primary,no,198,yes,no,unknown,7,may,121,2,-1,0,unknown,no
957,57,retired,married,secondary,no,502,yes,no,unknown,7,may,229,3,-1,0,unknown,no
961,57,retired,married,tertiary,no,906,yes,no,unknown,7,may,117,1,-1,0,unknown,no
966,49,services,married,secondary,no,1496,yes,no,unknown,7,may,218,4,-1,0,unknown,no
983,46,admin.,divorced,secondary,no,207,yes,no,unknown,7,may,485,4,-1,0,unknown,no
995,37,blue-collar,married,primary,no,310,yes,no,unknown,7,may,474,1,-1,0,unknown,no
999,33,technician,single,secondary,no,56,no,no,unknown,7,may,236,2,-1,0,unknown,no
1005,30,services,single,secondary,no,342,yes,no,unknown,7,may,206,2,-1,0,unknown,no
1011,34,technician,divorced,secondary,no,1107,yes,yes,unknown,7,may,345,1,-1,0,unknown,no
1031,44,services,divorced,secondary,no,7,yes,yes,unknown,7,may,238,3,-1,0,unknown,no
1032,37,technician,married,tertiary,no,16,yes,yes,unknown,7,may,153,3,-1,0,unknown,no
1038,32,technician,married,secondary,no,186,no,no,unknown,7,may,418,2,-1,0,unknown,no
1042,29,blue-collar,married,primary,no,190,no,no,unknown,7,may,51,1,-1,0,unknown,no
1050,45,technician,married,secondary,no,118,yes,no,unknown,7,may,208,2,-1,0,unknown,no
1052,27,student,single,secondary,no,671,yes,no,unknown,7,may,332,2,-1,0,unknown,no
1053,50,blue-collar,married,secondary,no,1557,yes,no,unknown,7,may,263,6,-1,0,unknown,no
1054,36,blue-collar,married,primary,no,-20,yes,no,unknown,7,may,353,3,-1,0,unknown,no
1057,47,blue-collar,married,secondary,no,438,yes,no,unknown,7,may,46,3,-1,0,unknown,no
1062,30,technician,divorced,tertiary,no,-317,yes,no,unknown,7,may,381,2,-1,0,unknown,no
1077,27,blue-collar,single,secondary,no,0,yes,no,unknown,7,may,191,4,-1,0,unknown,no
1084,34,blue-collar,married,secondary,no,615,yes,no,unknown,7,may,225,2,-1,0,unknown,no
1085,35,admin.,married,primary,no,136,yes,no,unknown,7,may,283,1,-1,0,unknown,no
1100,30,blue-collar,married,primary,no,145,yes,no,unknown,7,may,299,2,-1,0,unknown,no
1103,52,technician,married,unknown,no,133,yes,no,unknown,7,may,253,8,-1,0,unknown,no
1105,43,admin.,married,tertiary,no,1924,yes,no,unknown,7,may,244,7,-1,0,unknown,no
1107,43,blue-collar,married,primary,no,487,yes,no,unknown,7,may,548,2,-1,0,unknown,no
1109,32,services,single,secondary,no,81,yes,no,unknown,7,may,126,5,-1,0,unknown,no
1112,30,services,divorced,secondary,no,98,yes,no,unknown,7,may,155,1,-1,0,unknown,no
1113,48,blue-collar,married,secondary,no,1230,yes,yes,unknown,7,may,152,3,-1,0,unknown,no
1115,59,retired,divorced,primary,no,137,yes,yes,unknown,7,may,66,3,-1,0,unknown,no
1116,50,blue-collar,married,primary,yes,354,yes,no,unknown,7,may,123,2,-1,0,unknown,no
1119,39,technician,single,unknown,no,0,yes,no,unknown,7,may,130,1,-1,0,unknown,no
1124,29,management,married,tertiary,no,199,yes,yes,unknown,7,may,1689,4,-1,0,unknown,yes
1125,56,services,married,primary,no,219,yes,no,unknown,7,may,130,4,-1,0,unknown,no
1143,33,technician,married,secondary,no,367,yes,yes,unknown,7,may,22,2,-1,0,unknown,no
1148,48,admin.,divorced,secondary,no,268,yes,no,unknown,7,may,71,4,-1,0,unknown,no
1150,44,technician,married,secondary,no,-97,yes,no,unknown,7,may,408,3,-1,0,unknown,no
1152,35,management,divorced,tertiary,no,788,yes,no,unknown,7,may,297,3,-1,0,unknown,no
1155,38,unemployed,married,primary,no,447,yes,no,unknown,7,may,365,4,-1,0,unknown,no
1160,28,blue-collar,married,secondary,no,597,yes,no,unknown,8,may,223,2,-1,0,unknown,no
1163,32,admin.,single,secondary,no,89,yes,yes,unknown,8,may,308,3,-1,0,unknown,no
1164,30,services,married,secondary,no,442,yes,no,unknown,8,may,137,2,-1,0,unknown,no
1166,29,technician,single,secondary,no,247,yes,no,unknown,8,may,134,1,-1,0,unknown,no
1176,37,blue-collar,married,primary,no,190,yes,yes,unknown,8,may,194,1,-1,0,unknown,no
1177,52,blue-collar,married,secondary,no,46,yes,no,unknown,8,may,132,1,-1,0,unknown,no
1180,27,services,divorced,secondary,no,96,yes,no,unknown,8,may,31,1,-1,0,unknown,no
1184,42,entrepreneur,married,primary,no,198,yes,no,unknown,8,may,314,1,-1,0,unknown,no
1192,33,blue-collar,married,primary,no,-81,yes,no,unknown,8,may,267,1,-1,0,unknown,no
1197,51,management,married,primary,yes,57,yes,yes,unknown,8,may,61,1,-1,0,unknown,no
1201,36,entrepreneur,single,secondary,no,157,yes,no,unknown,8,may,41,1,-1,0,unknown,no
1210,55,blue-collar,single,tertiary,no,325,yes,no,unknown,8,may,693,1,-1,0,unknown,no
1219,48,admin.,single,secondary,no,96,yes,no,unknown,8,may,255,1,-1,0,unknown,no
1220,36,services,single,tertiary,no,72,yes,no,unknown,8,may,80,1,-1,0,unknown,no
1221,41,admin.,single,secondary,no,1715,yes,no,unknown,8,may,462,1,-1,0,unknown,no
1226,51,retired,married,secondary,no,226,yes,yes,unknown,8,may,418,1,-1,0,unknown,no
1236,34,entrepreneur,married,tertiary,no,10350,yes,no,unknown,8,may,187,3,-1,0,unknown,no
1239,41,technician,married,unknown,no,254,yes,no,unknown,8,may,690,1,-1,0,unknown,no
1240,34,blue-collar,single,primary,no,0,yes,no,unknown,8,may,323,1,-1,0,unknown,no
1247,49,services,married,secondary,no,-8,yes,no,unknown,8,may,1119,1,-1,0,unknown,yes
1263,47,management,married,tertiary,no,643,yes,no,unknown,8,may,155,1,-1,0,unknown,no
1265,34,blue-collar,married,secondary,no,80,yes,yes,unknown,8,may,494,1,-1,0,unknown,no
1284,31,technician,single,tertiary,no,1798,yes,no,unknown,8,may,393,1,-1,0,unknown,no
1292,41,unknown,single,primary,no,2398,yes,no,unknown,8,may,287,2,-1,0,unknown,no
1304,38,management,divorced,tertiary,no,904,yes,no,unknown,8,may,475,1,-1,0,unknown,no
1312,31,management,single,tertiary,no,1315,yes,no,unknown,8,may,156,1,-1,0,unknown,no
1315,44,admin.,single,secondary,no,-84,yes,no,unknown,8,may,32,3,-1,0,unknown,no
1323,57,management,married,tertiary,no,2261,yes,no,unknown,8,may,1007,1,-1,0,unknown,no
1333,51,admin.,divorced,secondary,no,340,yes,no,unknown,8,may,186,1,-1,0,unknown,no
1334,49,technician,married,primary,no,230,yes,no,unknown,8,may,96,1,-1,0,unknown,no
1338,27,student,single,secondary,no,217,yes,no,unknown,8,may,319,1,-1,0,unknown,no
1339,43,blue-collar,married,primary,no,186,yes,no,unknown,8,may,178,1,-1,0,unknown,no
1340,49,admin.,divorced,secondary,no,168,yes,yes,unknown,8,may,513,1,-1,0,unknown,yes
1341,50,services,divorced,secondary,no,145,yes,no,unknown,8,may,170,1,-1,0,unknown,no
1348,34,services,married,secondary,no,142,yes,no,unknown,8,may,159,4,-1,0,unknown,no
1349,58,blue-collar,married,primary,no,5,no,no,unknown,8,may,177,2,-1,0,unknown,no
1360,37,services,married,secondary,no,50,yes,no,unknown,8,may,352,3,-1,0,unknown,no
1363,37,technician,single,tertiary,no,31,yes,no,unknown,8,may,72,1,-1,0,unknown,no
1372,43,management,single,tertiary,no,2067,yes,no,unknown,8,may,756,1,-1,0,unknown,yes
1375,34,technician,single,tertiary,no,301,yes,no,unknown,8,may,205,1,-1,0,unknown,no
1378,49,admin.,single,secondary,no,275,no,no,unknown,8,may,14,1,-1,0,unknown,no
1379,60,retired,married,primary,no,414,no,no,unknown,8,may,395,1,-1,0,unknown,no
1385,33,housemaid,married,primary,no,1713,yes,no,unknown,8,may,22,1,-1,0,unknown,no
1386,37,admin.,married,primary,no,242,yes,no,unknown,8,may,161,8,-1,0,unknown,no
1387,40,management,married,tertiary,no,-29,no,no,unknown,8,may,406,2,-1,0,unknown,no
1388,59,retired,divorced,tertiary,no,381,yes,no,unknown,8,may,422,4,-1,0,unknown,no
1392,40,blue-collar,married,primary,no,640,yes,yes,unknown,8,may,347,2,-1,0,unknown,no
1394,39,blue-collar,married,secondary,no,1042,yes,no,unknown,8,may,58,2,-1,0,unknown,no
1396,39,services,single,secondary,no,-244,yes,no,unknown,8,may,152,2,-1,0,unknown,no
1399,31,management,married,tertiary,no,59,yes,no,unknown,8,may,314,3,-1,0,unknown,no
1406,46,admin.,divorced,tertiary,no,846,yes,no,unknown,8,may,369,2,-1,0,unknown,no
1409,31,blue-collar,married,primary,no,406,yes,no,unknown,8,may,31,1,-1,0,unknown,no
1425,46,blue-collar,married,primary,no,587,yes,no,unknown,8,may,173,2,-1,0,unknown,no
1428,40,management,single,tertiary,no,-275,yes,no,unknown,8,may,219,2,-1,0,unknown,no
1430,25,entrepreneur,married,tertiary,no,37,yes,yes,unknown,8,may,453,2,-1,0,unknown,no
1432,38,blue-collar,single,primary,no,162,yes,no,unknown,8,may,200,2,-1,0,unknown,no
1434,34,blue-collar,married,secondary,no,199,yes,no,unknown,8,may,627,3,-1,0,unknown,no
1436,30,blue-collar,single,secondary,no,648,yes,yes,unknown,8,may,287,1,-1,0,unknown,no
1446,57,entrepreneur,married,unknown,no,618,yes,no,unknown,8,may,10,7,-1,0,unknown,no
1447,53,management,married,tertiary,no,1786,yes,no,unknown,8,may,66,2,-1,0,unknown,no
1450,32,services,single,secondary,no,459,yes,no,unknown,8,may,202,2,-1,0,unknown,no
1459,49,blue-collar,single,primary,no,1164,yes,no,unknown,8,may,72,1,-1,0,unknown,no
1462,43,blue-collar,married,primary,no,-192,yes,no,unknown,8,may,1120,2,-1,0,unknown,yes
1464,55,blue-collar,married,primary,no,332,yes,no,unknown,8,may,318,2,-1,0,unknown,no
1467,57,blue-collar,divorced,primary,no,-176,yes,no,unknown,8,may,275,1,-1,0,unknown,no
1475,42,blue-collar,married,secondary,no,376,yes,no,unknown,8,may,15,1,-1,0,unknown,no
1480,43,technician,married,secondary,no,1824,yes,no,unknown,8,may,296,1,-1,0,unknown,no
